,school,count
730,四川音乐学院古典作曲专业,1
731,新疆大学数学系,1
732,深圳大学,1
733,武汉华中师范学院,1
734,韩国首尔翰林艺术高中,1
735,自己学院,1
736,河北科技师范学院欧美学院,1
737,台北私立醒吾技术学院,1
738,上海戏剧学院表演系00级本科,1
739,江西师范大学美术学院,1
740,西藏大学,1
741,香港浸会学院音乐艺术系,1
742,广西大学计算机系,1
743,北京大学艺术学院文化产业管理高级人才研修硕士在读,1
744,电子科技大学07级通信与信息工程学院,1
745,师大附中,1
746,山东音乐学院,1
747,西雅图华盛顿州立大学/科尼许音乐学校,1
748,新加坡拉萨尔艺术学院,1
749,新疆艺术学院音乐系（就读中）,1
750,台湾铭传大学,1
751,解放军通讯学院,1
752,台湾观光学院,1
753,辽宁体院,1
754,沈阳工业大学,1
755,东吴大学音乐系,1
756,台中技术学院,1
757,信义中大专,1
758,武汉科技大学,1
759,文化大学广告学系,1
760,台湾艺术大学戏剧系（在读）,1
761,中央音乐学院,1
762,台湾淡江大学,1
763,南京艺术学院音乐学院2005级本科声乐系,1
764,澳大利亚悉尼大学,1
765,香港树仁中学肄业,1
766,英国伦敦大学皇家霍洛威学院,1
767,中国传媒大学表演导演专业,1
768,台湾西湖工商（现恕德家商）,1
769,美国天母学校高中,1
770,私立醒吾技术学院,1
771,上海戏剧学院表演系,1
772,哈尔滨工程大学,1
773,英国威灵顿学院,1
774,香港知专设计学院,1
775,山东艺术学院,1
776,杭州电子科技大学信息工程学院,1
777,新西兰奥克兰大学土木工程系,1
778,中国音乐学院（硕士）,1
779,天津戏曲学校,1
780,阿尔伯塔大学,1
781,西北大学,1
782,河北涿州艺术师范音乐系,1
783,俄罗斯国立音乐学院,1
784,北大附小,1
785,华北水利水电大学,1
786,北京现代艺术学院编曲系,1
787,威廉姆斯大学,1
788,私立中国文化大学体育系,1
789,瑞士国际酒店管理大学,1
790,台大会计系,1
791,辽宁大学中文系,1
792,上海师范大学,1
793,浙江工业大学翻译专业,1
794,江汉艺术职业学院,1
795,台中市西屯区至善国民中学（兆弦）,1
796,新加坡国立大学,1
797,墨尔本大学,1
798,内蒙古艺术学校,1
799,吉林艺术学院流行音乐学院,1
800,湖南财经学院,1
801,四川师范大学（进修）,1
802,荣成师范,1
803,韩国首尔艺术大学,1
804,香港大学建筑系,1
805,北京电影学院（在读）,1
806,大连艺术学院,1
807,西藏民族学院,1
808,美国波士顿音乐学院,1
809,英国伦敦大学,1
810,湖北中医学院,1
811,北京交通大学,1
812,南投基督书院,1
813,北京师范大学珠海分校,1
814,南洋理工大学,1
815,国立嘉义技术学院农业经济系,1
816,明新工专,1
817,北京电影学院,1
