school	count
洗足学园音乐大学音乐学部ジャズコースピアノ（爵士钢琴）科毕业	1
解放军艺术学院 中国音乐学院	1
清华大学经济管理学院研究生	1
湖南财经学院	1
东邦音乐短期大学	1
北京电影学院98级表演系本科	1
武汉华中师范学院	1
创价大学文学部外国语学科俄语专业	1
专门学校东京Announce学院	1
韩国岭南大学机械工程专业	1
北京化工大学北方学院	1
Cass Technical High School	1
日出高等学校	1
台南光华女中（商专）	1
韩国首尔公演艺术高中	1
广东省韶关市第一中学	1
广州市中山大学	1
韩国明知大学产品设计学（汽车专业）硕士	1
世新大学图文传播暨数位出版学系	1
齐齐哈尔高等师范专科学校	1
上海交通大学	1
韩国湖原大学音乐系（在学）	1
多伦多大学经济学心理学电影学	1
马来西亚柔佛新山南方学院	1
致理商专商业文书科	1
尚美音乐学院	1
东吴大学中国文学系	1
韩国艺术综合大学传统艺术学院韩国舞蹈系	1
乐山师范学院音乐学院	1
南通师专	1
普清综合高等学校毕业	1
青二塾东京校第29期	1
政工干校音乐系	1
专门学校艺术学院神户	1
清州大学话剧电影系	1
韩国首尔数码文化艺术大学	1
南昌师范高等专科学校	1
韩国庆熙大学文化艺术经营系	1
国立中正大学企管系	1
上海戏剧学院模特进修班	1
台湾大学	1
国光艺校音乐科	1
新疆教育学院	1
香港民生书院	1
中央区立佃中学校	1
法政大学人文学院戏剧系	1
青二塾大阪校（第11期）	1
海南职业技术学院	1
庆熙大学（庆熙网络大学）	1
牛津大学	1
国立杭州西湖艺术院	1
莱克伍德小学（Blackwood Primary School）	1
北京大学林兆华戏剧研修班	1
山梨学院大学（中途退学）	1
东国大学演剧电影系	1
彼索普斯托福学院	1
新光女子高中	1
新疆艺术学院	1
西北大学	1
东京都立大学附属高等学校	1
韩国汉阳大学演剧电影系	1
琉球大学社会人类系	1
东京府立·第六中学	1
北京月坛旅游学院日语专业	1
立命馆大学	1
斯坦福大学	1
翰林演艺艺术高中实用音乐科	1
韩国艺术综合学校	1
纽约非百老汇职业表演艺术学院	1
大主教瑞安高中	1
名古屋市立向阳高等学校	1
新亚书院	1
中北国际演艺学校	1
刘栋升：北京现代音乐学院	1
韩国全州艺术高中	1
延世大学音乐学院器乐专业	1
Campiani’s Academy	1
福知山淑德高等学校	1
天津商业大学	1
日本Amusement Media総合学院	1
建国大学电影系	1
台湾文化大学	1
日本女子体育大学	1
アミューズメントメディア総合学院（AMUSEMENT MEDIA ACADEMY）	1
政治大学	1
韩国中央大学言论大学院硕士	1
新加坡理工学院	1
上海师范大学艺术教育专业	1
辽宁大学	1
天津戏曲学校	1
北京现代音乐学院流行学院华语系	1
美国柯蒂斯音乐学院（Curtis Institute of Music）	1
国立艺术学院(国立台北艺术大学)	1
哈佛社区大学经济系	1
海专	1
深圳蛇口国际学校	1
中央党校铁道分校经济管理学院	1
解放军艺术学院/北京工业职业技术学院	1
台北商业技术学院	1
私立醒吾技术学院	1
马利诺书院	1
日本大学艺术	1
日本明治大学商学部	1
庆熙大学文艺艺术经营学硕士在读	1
小学：圣德勒撒;中学：迦密中学	1
安徽艺术学院	1
内蒙古艺术学院	1
泰国川登喜皇家大学	1
哈尔滨市阿城区第4中学	1
武汉华中艺术学校	1
桃山学院高等学校毕业	1
美国麻省理工学院	1
音乐专科学校	1
明知专门大学	1
韩国水原大学戏剧系	1
北京大学外文系日本语专业	1
中央戏剧学院2007级表演本科班	1
韩国祥明大学（硕士）	1
荣成师范	1
东京播音学院	1
早稻田大学(中途退学)	1
西安外国语大学西影影视传媒学院	1
首都师范大学科德学院	1
韩世大学	1
易三仓大学（艺术商业学院）	1
高锅高校	1
北京艺术设计学院	1
星海音乐学院流行音乐系通俗演唱专业	1
马公高中	1
辽宁大学中文系	1
英国伦敦艺术大学	1
自己学院	1
浙江艺术学校	1
Heritage Middle School	1
明治大学（中途退学）	1
日本音楽高等学校	1
Palmer's College	1
中央音乐学院附中	1
昭和音乐大学作曲系辍学	1
云南怒江州师范学校	1
南京财经大学工商管理专业	1
神奈川大学外语学部	1
星海音乐学院现代音乐系	1
广东轻工职业技术学院艺术设计学院	1
